state,city,nrows,population,start_date,end_date,date,time,type,geolocation,subgeography,subject_age,subject_race,subject_sex,reason_for_stop,warning_issued,citation_issued,arrest_made,violation,search_conducted,search_basis,frisk_performed,contraband_found,shapefiles,rds,csv_zip,has_pedestrian_stops,state_with_local_data
TX,Arlington,112526,388225,2016-01-01,2016-12-31,1,1,1,1,0.9903,0,1,1,1,0,0,0,0,1,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_arlington_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_arlington_2020_04_01.csv.zip,TRUE,FALSE
TX,Austin,483255,916906,2006-01-01,2016-06-30,1,0,0.7718,1,0,0.9935,1,0.9992,1,0,0,0,0,1,1,1,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_austin_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_austin_2020_04_01.csv.zip,FALSE,FALSE
TX,Garland,159840,235965,2012-01-03,2019-06-22,1,0.9993,1,1,0,0,0.9999,0.9998,0,0,1,0,1,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_garland_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_garland_2020_04_01.csv.zip,FALSE,FALSE
TX,Houston,2045972,2267336,2014-01-01,2020-11-04,1,0.36819999999999997,1,1,0.8576,0,0.7983,0.9978,0,0,1,0,1,0,0,0,0,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_tx_houston_shapefiles_2023_01_26.tgz,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_tx_houston_2023_01_26.rds,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_tx_houston_2023_01_26.csv.zip,FALSE,FALSE
TX,Lubbock,546101,247323,2008-05-01,2018-04-30,1,0,1,1,0,0,0,0,0,0.9959,0.9959,0,0,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_lubbock_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_lubbock_2020_04_01.csv.zip,TRUE,FALSE
TX,Plano,249043,281566,2012-01-01,2015-12-31,1,0.9937,1,1,0.4657,0.00649999999999995,1,1,0,0.3187,0.8593,0.9797,1,0.9995,1,0,1,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_plano_shapefiles_2020_04_01.tgz,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_plano_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_plano_2020_04_01.csv.zip,FALSE,FALSE
TX,San Antonio,1301103,1461623,2012-01-01,2020-06-30,1,1,0.9763,1,0.925,0.9989,0.9994,0.9971,0,0,1,1,1,1,1,0,1,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_tx_san_antonio_shapefiles_2023_01_26.tgz,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_tx_san_antonio_2023_01_26.rds,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_tx_san_antonio_2023_01_26.csv.zip,TRUE,FALSE
TX,Statewide,27426840,27419612,2006-01-01,2017-12-31,1,1,1,1,1,0,1,1,0,1,1,0,0.9999,0.9198,0.9999,0,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tx_statewide_2020_04_01.csv.zip,FALSE,FALSE
VA,Statewide,5006847,8365952,2006-01-07,2016-04-23,1,0,1,1,0.8733,0,1,0,0,0,0,0,0,1,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_va_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_va_statewide_2020_04_01.csv.zip,FALSE,FALSE
VT,Burlington,36842,42453,2012-01-01,2020-05-27,1,1,1,1,0,0.8384,0.9537,0.9643,0.8439,0.9802,0.9802,0.9802,0.9873,1,1,0,1,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_vt_burlington_shapefiles_2023_01_26.tgz,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_vt_burlington_2023_01_26.rds,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_vt_burlington_2023_01_26.csv.zip,FALSE,FALSE
VT,Statewide,283285,624636,2010-07-01,2015-12-31,1,1,1,1,1,0.9958,0.9859,0.994,0,0.992,0.992,0.992,0,1,1,0,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_vt_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_vt_statewide_2020_04_01.csv.zip,FALSE,FALSE
WA,Seattle,319959,688245,2006-01-01,2015-12-31,1,1,1,1,0.9066,0.3106,0.0010999999999999899,0.0010999999999999899,0,1,1,1,1,0,0,0,0,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wa_seattle_shapefiles_2020_04_01.tgz,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wa_seattle_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wa_seattle_2020_04_01.csv.zip,TRUE,FALSE
WA,Statewide,11333425,7169967,2009-01-01,2018-09-30,1,1,1,1,0.8674,0.7161,0.7182,0.7185,0,1,1,0.6435,0.4122,1,1,1,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wa_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wa_statewide_2020_04_01.csv.zip,FALSE,FALSE
WA,Tacoma,271912,207280,2007-09-11,2017-09-10,1,1,1,1,0.7965,0,0,0,0,1,1,1,0,0,0,0,0,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wa_tacoma_shapefiles_2020_04_01.tgz,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wa_tacoma_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wa_tacoma_2020_04_01.csv.zip,TRUE,FALSE
WI,Madison,331450,248856,2007-09-28,2020-06-16,1,1,1,1,0.8527,0.16149999999999998,0.9888,0.9956,0,1,1,0,0.9952,0,0,0,0,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_wi_madison_shapefiles_2023_01_26.tgz,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_wi_madison_2023_01_26.rds,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_wi_madison_2023_01_26.csv.zip,FALSE,FALSE
WI,Statewide,1058816,5763217,2010-01-01,2016-05-16,1,1,1,1,1,0,0.855,0.8557,0,0.9999,0.9999,0.9999,1,1,0.9991,0,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wi_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wi_statewide_2020_04_01.csv.zip,FALSE,FALSE
WY,Statewide,172948,583200,2011-01-01,2012-12-31,1,0.9999,1,1,0.9866,0.9959,0.9971,0.9926,0,0,0,0,0,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wy_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_wy_statewide_2020_04_01.csv.zip,FALSE,FALSE
